installationidentifier,account_holder,registry_code,installation_name,year,allocated,verified_emiss,nacerev2
60,Energie Steiermark Wärme GmbH,AT,FHKW Graz,2010,23903,44443,35.30
60,Energie Steiermark Wärme GmbH,AT,FHKW Graz,2011,23903,20838,35.30
60,Energie Steiermark Wärme GmbH,AT,FHKW Graz,2012,23903,31596,35.30
60,Energie Steiermark Wärme GmbH,AT,FHKW Graz,2013,25851,34448,35.30
60,Energie Steiermark Wärme GmbH,AT,FHKW Graz,2014,23136,30960,35.30
60,Energie Steiermark Wärme GmbH,AT,FHKW Graz,2015,20492,35998,35.30
60,Energie Steiermark Wärme GmbH,AT,FHKW Graz,2016,17930,56390,35.30
60,Energie Steiermark Wärme GmbH,AT,FHKW Graz,2017,15445,45450,35.30
104,Kelag Wärme GmbH,AT,Kelag Wärme Prolactal Hartberg,2009,2312,6142,35.30
104,Kelag Wärme GmbH,AT,Kelag Wärme Prolactal Hartberg,2010,2312,954,35.30
104,Kelag Wärme GmbH,AT,Kelag Wärme Prolactal Hartberg,2011,2312,1709,35.30
104,Kelag Wärme GmbH,AT,Kelag Wärme Prolactal Hartberg,2012,2312,1534,35.30
104,Kelag Wärme GmbH,AT,Kelag Wärme Prolactal Hartberg,2013,1787,555,35.30
104,Kelag Wärme GmbH,AT,Kelag Wärme Prolactal Hartberg,2014,397,985,35.30
104,Kelag Wärme GmbH,AT,Kelag Wärme Prolactal Hartberg,2015,703,889,35.30
104,Kelag Wärme GmbH,AT,Kelag Wärme Prolactal Hartberg,2016,615,788,35.30
104,Kelag Wärme GmbH,AT,Kelag Wärme Prolactal Hartberg,2017,529,2332,35.30
